,,,,,,,,,SARS-CoV-2_WT (984),,,,,,,,,,SARS-CoV-2_α (21528),,,,,,,,,,SARS-CoV-2_β (22131),,,,,,,,,,SARS-CoV-2_δ (25853_23),,,,,,,,,,,SARS-CoV-2_BA.1 (26335),,,,,,,,,,SARS-CoV-2_BA.2 (26729_12),,,,,,,,,,,SARS-CoV-2_BA.2 (26729_2),,,,,,,,,,rSARS-CoV-2_B.1+E484K,,,,,,,,,,SARS-CoV-2_BA.4,,,,,,,,,,,,SARS-CoV-2_BA.5,,,,,,,,,,SARS-CoV-2_Mu,,,,,,BQ.1.18,,,,,,,,,,,BF.7,,,,,,,,,,BN.1.3.1,,,,,,,,,,,XBB.2,,,,,,,,,,,EG.5.1 (V140),,,,,,,,,,BA.2.86 (V139),,,,,,,,,,JN.1 (V148),,,,,,,,,,JN.1 (V148)-2,,,,,,,,,
sample ID,Infektion Hamster,,Viruskontrolle (VK),Viruskontrolle 24.01.23,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle 24.01.23,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle (VK) 230331,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle (VK),Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120,Viruskontrolle Dezember,1:20,1:40,1:80,1:160,1:320,1:640,1:1280,1:2560,1:5120
VK,-,PFU Ansatz 1,59,55,47,,,,,,,,, ,28,,,,,,,,,,47,,,,,,,,,,20,,,,,,,,,,57,80,,,,,,,,,,40,,,,,,,,,,61,80,,,,,,,,,,60,,,,,,,,,,74,,,,,,,,,,102,250,31,,,,,,,,,,45,,,,,,,,,,36,,,,,,,,,,,230,,,,,,,,,,44,24,,,,,,,,,,44,32,,,,,,,,,,23,,,,,,,,,,66,,,,,,,,,,11,,,,,,,,,,39,,,,,,,,,
VK,-,PFU Ansatz 2,56,44,49,,,,,,,,, ,18,,,,,,,,,,44,,,,,,,,,,23,,,,,,,,,,57,88,,,,,,,,,,40,,,,,,,,,,68,79,,,,,,,,,,47,,,,,,,,,,65,,,,,,,,,,120,250,33,,,,,,,,,,47,,,,,,,,,,29,,,,,,,,,,,230,,,,,,,,,,53,20,,,,,,,,,,51,36,,,,,,,,,,25,,,,,,,,,,54,,,,,,,,,,18,,,,,,,,,,34,,,,,,,,,
VK,-,PFU Ansatz 3,55,53,48,,,,,,,,, ,17,,,,,,,,,,49,,,,,,,,,,23,,,,,,,,,,56,87,,,,,,,,,,46,,,,,,,,,,66,84,,,,,,,,,,50,,,,,,,,,,62,,,,,,,,,,111,250,31,,,,,,,,,,36,,,,,,,,,,27,,,,,,,,,,,230,,,,,,,,,,54,14,,,,,,,,,,53,,,,,,,,,,,27,,,,,,,,,,54,,,,,,,,,,16,,,,,,,,,,37,,,,,,,,,
VK,-,PFU Ansatz 4,55,53,44,,,,,,,,, ,,,,,,,,,,,45,,,,,,,,,,24,,,,,,,,,,56,89,,,,,,,,,,39,,,,,,,,,,62,76,,,,,,,,,,54,,,,,,,,,,82,,,,,,,,,,107,250,29,,,,,,,,,,50,,,,,,,,,,36,,,,,,,,,,,230,,,,,,,,,,59,26,,,,,,,,,,40,,,,,,,,,,,26,,,,,,,,,,31,,,,,,,,,,8,,,,,,,,,,37,,,,,,,,,
VK,-,PFU Ansatz 5,,,,,,,,,,,, ,,,,,,,,,,,45,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,119,,37,,,,,,,,,,48,,,,,,,,,,30,,,,,,,,,,,230,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,52,,,,,,,,,,8,,,,,,,,,,35,,,,,,,,,
VK,-,PFU Ansatz 6,,,,,,,,,,,, ,,,,,,,,,,,40,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,112,,,,,,,,,,,,49,,,,,,,,,,33,,,,,,,,,,,230,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,37,,,,,,,,,,8,,,,,,,,,,34,,,,,,,,,
VK,-,PFU Ansatz 7,,,,,,,,,,,, ,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VK,-,PFU Ansatz 8,,,,,,,,,,,, ,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
