serum,virus,prnt,prntOrig
2.1,SARS-CoV-2_Alpha (21528),3795,3010.13
2.2,SARS-CoV-2_BA.2 (26729_2),640,830.37
3.2,SARS-CoV-2_BA.2 (26729_12),183.5,<160
3.3,SARS-CoV-2_Alpha (21528),968.83,1372.73
3.3,SARS-CoV-2_Beta (22131),1824.34,2057.81
4.1,SARS-CoV-2_Alpha (21528),5120,nan
4.2,SARS-CoV-2_Delta (25853_23),3570.23,3125.64
4.3,SARS-CoV-2_Alpha (21528),1622.41,2382.62
4.3,SARS-CoV-2_Delta (25853_23),5120,nan
5.1,SARS-CoV-2_Alpha (21528),<40,2898.75
5.1,SARS-CoV-2_BA.2 (26729_12),326.59,409.82
5.2,SARS-CoV-2_Alpha (21528),164.89,205.25
5.2,SARS-CoV-2_BA.2 (26729_2),225.11,163.89
5.3,SARS-CoV-2_BA.2 (26729_2),220.56,<160
6.1,SARS-CoV-2_BA.2 (26729_2),5113.91,4699.22
6.2,SARS-CoV-2_BA.2 (26729_2),5330.82,nan
7.1,SARS-CoV-2_WT (984),5442.78,nan
7.1,SARS-CoV-2_Alpha (21528),5032.42,nan
7.1,SARS-CoV-2_Delta (25853_23),2895.08,2116.85
7.1,rSARS-CoV-2_B.1+E484K,2635.04,2437.81
7.1,SARS-CoV-2_BA.2 (26729_12),2859.64,2607.20
7.1,SARS-CoV-2_Mu,>5120,6364.97
7.2,SARS-CoV-2_Mu,2034.42,2419.48
7.3,SARS-CoV-2_Alpha (21528),4540.72,2962.97
7.3,SARS-CoV-2_Mu,>5120,5237.84
8.1,SARS-CoV-2_BA.2 (26729_12),320,557.50
9.1,BF.7,1647.68,1922.55
9.3,BQ.1.18,3539.07,2909.38
