virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,149.63,<80,120.41,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,1948.44,903.40,3373.83
BN.1.3.1,120.56,<54,<54,*,*,*,*,*,*,*,*,*,*,*,111.32,<54,<54,*,*,*,*,*,*,<40,<40,52.94,125.50,<54,<54
BQ.1.18,<160,<160,<160,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,1407.21,632.26,2897.39
EG.5.1 (V140),50.24,<40,48.61,285.71,550.16,433.44,*,*,*,*,*,*,*,*,167.36,<40,<40,*,*,*,*,*,*,*,*,*,273.62,137.34,190.82
JN.1 (V148),74.60,<40,<40,129.40,258.71,254.48,*,*,*,*,*,*,*,*,77.74,<40,84.51,*,*,*,*,*,*,*,*,*,152.40,<40,<40
SARS-CoV-2_Alpha (21528),86.04,160.32,171.53,*,*,*,3015.66,5140.79,576.75,1317.09,1372.34,5120,1972.64,2378.90,<40,286.58,163.56,171.71,98.94,220.02,5032.42,1456.06,2971.10,1901.59,626.16,2376.74,*,*,*
SARS-CoV-2_BA.1 (26335),392.62,267.92,555.97,*,*,*,<160,405.51,<160,<160,179.95,410.36,410.36,247.04,1646.67,1630.91,1205.28,1840.31,852.85,843.75,757.70,636.14,598.49,165.30,<160,222.58,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),1404.68,1543.99,1730.18,*,*,*,<160,542.39,244.58,180.14,265.65,959.12,528.69,1003.87,410.05,216.85,228.20,3292.22,4754.07,1297.55,2609.66,1192.31,1407.62,566.63,<160,282.10,*,*,*
SARS-CoV-2_BA.2 (26729_2),1849.11,2173.70,1658.35,*,*,*,<160,1000.29,297.96,208.70,259.40,688.69,412.66,751.07,331.30,223.23,215.90,4718.92,5330.82,1301.14,1856.17,643.38,1291.22,522.21,<160,257.84,<160,161.10,186.63
SARS-CoV-2_BA.4,224.26,197.59,354.09,*,*,*,44.91,219.68,239.26,<40,83.36,536.17,185.80,364.11,<160,<160,<160,446.90,3212.39,<160,537.89,167.30,268.81,226.70,<20,66.32,*,*,*
SARS-CoV-2_BA.5,190.26,229.58,237.53,221.18,212.53,160.39,47.02,301.65,193.68,50.55,114.70,556.06,177.63,325.91,<160,<160,<160,557.50,3909.30,<160,413.03,255.49,193.21,320.99,<20,71.52,1104.14,608.84,2182.30
SARS-CoV-2_Beta (22131),<80,235.23,279.89,*,*,*,515.37,1459.65,2248.63,1472.03,2056.60,2302.50,740.81,1062.84,<20,159.14,124.63,432.15,164.20,330.55,2609.98,2051.51,2009.70,1318.02,216.35,1437.56,*,*,*
SARS-CoV-2_Delta (25853_23),20.70,<80,<80,*,*,*,384.06,852.96,212.27,194.48,203.53,4825.88,3162.23,5120,<20,86.69,55.68,64.92,<40,41.74,2935.28,1374.98,1084.69,1334.39,503.64,1158.05,*,*,*
SARS-CoV-2_Mu,<80,322.96,<80,*,*,*,744.52,1834.50,763.05,545.55,778.88,1768.09,431.62,850.94,<80,89.59,<80,445.72,228.38,547.60,>5120,2421.12,5242.96,1197.16,66.21,498.00,*,*,*
SARS-CoV-2_WT (984),<160,<160,<160,<80,<80,<80,869.03,1531.16,404.50,422.91,514.58,1881.36,875.34,1195.33,<160,<160,<160,<160,<160,<160,5442.78,1415.18,2898.19,1533.34,740.83,1575.21,<40,<40,<40
XBB.2,70.79,<107,151.39,1765.08,1894.13,872.49,*,*,*,*,*,*,*,*,183.88,<54,<54,*,*,*,*,*,*,<32,<32,<32,341.53,221.88,691.01
rSARS-CoV-2_B.1+E484K,<80,<80,<80,*,*,*,267.89,388.50,354.44,262.73,289.54,1537.07,324.45,539.36,<40,83.43,58.12,163.80,<80,100.08,2437.28,1414.92,2287.65,685.74,261.47,1582.44,*,*,*
