virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,146.74,118.41,124.73,*,*,*,*,*,*,*,*,*,*,*,84.13,<80,<80,*,*,*,*,*,*,<40,<40,<40,1922.55,903.16,3366.47
BN.1.3.1,119.10,<54,<54,*,*,*,*,*,*,*,*,*,*,*,110.94,<54,<54,*,*,*,*,*,*,<40,<40,36.65,124.71,<54,83.58
BQ.1.18,<160,<160,<160,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,1407.34,628.91,2909.38
EG.5.1 (V140),<40,42.01,58.07,288.45,553.94,432.03,*,*,*,*,*,*,*,*,170.28,<40,<40,*,*,*,*,*,*,*,*,*,284.31,127.03,191.47
JN.1 (V148),74.44,<40,<40,129.25,260.74,242.01,*,*,*,*,*,*,*,*,77.72,<40,81.45,*,*,*,*,*,*,*,*,*,153.64,66.88,<40
SARS-CoV-2_Alpha (21528),81.40,162.57,171.62,*,*,*,3010.13,5141.54,601.60,1353.24,1372.73,5120,1924.14,2382.62,<40,205.25,163.60,171.93,97.49,213.96,5032.42,1462.89,2962.97,1904.11,631.29,2386.00,*,*,*
SARS-CoV-2_BA.1 (26335),402.62,259.91,549.12,*,*,*,<160,405.82,<160,<160,193.46,422.82,422.82,277.32,1654.90,1658.02,1217.46,1822.46,775.17,806.31,793.69,666.08,622.10,<160,<160,202.45,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),1407.05,1524.07,1729.68,*,*,*,<160,542.95,232.39,<160,272.15,959.20,528.57,1043.33,409.82,164.59,200.04,3278.21,4818.17,1299.74,2607.20,903.16,1431.00,557.50,<160,275.36,*,*,*
SARS-CoV-2_BA.2 (26729_2),1855.69,2180.47,1666.72,*,*,*,<160,830.37,296.38,<160,251.05,702.22,435.00,711.89,325.46,163.89,<160,4699.22,5330.82,1287.85,1698.99,652.13,1296.63,512.15,<160,246.50,<160,<160,190.03
SARS-CoV-2_BA.4,233.96,190.77,366.16,*,*,*,44.62,215.89,238.22,67.78,78.59,533.97,193.77,364.20,187.79,<160,<160,446.83,3156.46,<160,537.69,145.55,271.67,226.61,<20,66.45,*,*,*
SARS-CoV-2_BA.5,188.53,198.87,214.58,219.94,212.78,159.84,46.78,302.49,190.45,43.74,108.21,558.17,160.75,327.05,258.12,<160,<160,573.32,4027.10,<160,417.36,255.96,198.73,327.89,<20,60.13,1104.83,608.00,2168.32
SARS-CoV-2_Beta (22131),<80,238.91,282.05,*,*,*,530.07,1427.84,2237.52,1492.88,2057.81,2304.76,742.18,1032.52,<20,160.28,124.64,437.18,156.13,336.45,2609.58,2052.20,2011.73,1334.84,217.45,1457.76,*,*,*
SARS-CoV-2_Delta (25853_23),22.10,<80,<80,*,*,*,383.20,872.03,227.15,<160,190.95,4819.28,3125.64,5120,<20,82.71,55.20,67.59,<40,40.20,2116.85,1375.08,1124.00,1316.81,502.85,1165.18,*,*,*
SARS-CoV-2_Mu,<80,322.59,114.34,*,*,*,753.50,1838.21,779.60,546.07,781.76,1771.11,431.69,860.77,<80,86.95,<80,444.51,229.97,561.78,>5120,2419.48,5237.84,1213.59,63.97,498.23,*,*,*
SARS-CoV-2_WT (984),<160,<160,<160,<80,<80,<80,889.26,1544.79,402.48,415.96,516.13,1819.79,877.49,1202.49,<160,<160,<160,<160,<160,<160,5442.78,1417.62,2894.10,1472.22,666.78,1503.46,<40,<40,<40
XBB.2,70.26,<107,155.40,1765.51,1898.36,885.62,*,*,*,*,*,*,*,*,189.30,<54,<54,*,*,*,*,*,*,<32,<32,<32,342.05,221.84,685.13
rSARS-CoV-2_B.1+E484K,<80,<80,<80,*,*,*,267.36,393.87,350.87,268.63,286.73,1540.75,329.15,548.17,<40,84.72,54.27,169.35,<80,87.35,2437.81,1426.16,2290.61,693.86,267.98,1576.85,*,*,*
