virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,154.98,<80,120.95,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,1641.80,861.55,3436.74
BN.1.3.1,123.58,<54,<54,*,*,*,*,*,*,*,*,*,*,*,113.87,<54,<54,*,*,*,*,*,*,<40,<40,52.90,127.25,<54,<54
BQ.1.18,<160,<160,<160,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,1271.55,657.91,3533.39
EG.5.1 (V140),63.25,<40,51.59,284.78,583.18,442.34,*,*,*,*,*,*,*,*,169.47,<40,<40,*,*,*,*,*,*,*,*,*,312.12,158.60,208.84
JN.1 (V148),75.30,<40,<40,136.72,237.47,298.23,*,*,*,*,*,*,*,*,71.89,<40,102.10,*,*,*,*,*,*,*,*,*,155.50,<40,<40
SARS-CoV-2_Alpha (21528),84.93,157.15,137.47,*,*,*,3789.82,5142.17,562.46,1327.73,994.77,5051.40,1788.07,1602.99,<40,166.34,111.42,122.69,88.34,207.90,5051.40,1326.87,4517.23,1720.49,481.18,2359.62,*,*,*
SARS-CoV-2_BA.1 (26335),471.05,278.95,600.12,*,*,*,<160,377.44,<160,<160,179.80,433.37,433.37,231.33,1504.93,1618.75,1083.36,2090.28,512.38,788.57,872.71,665.18,712.55,<160,<160,228.87,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),1115.40,1158.66,1739.97,*,*,*,<160,538.10,253.86,194.86,269.20,753.96,387.41,1165.12,353.12,227.92,233.47,3432.74,4815.27,1110.44,2838.31,526.13,1432.88,349.33,<160,273.30,*,*,*
SARS-CoV-2_BA.2 (26729_2),1822.13,2165.39,1543.94,*,*,*,<160,548.38,302.31,212.36,255.13,597.99,392.25,496.17,360.84,225.11,222.56,5114.01,5344.08,997.14,1893.39,594.04,1109.67,561.05,<160,251.93,<160,161.17,186.19
SARS-CoV-2_BA.4,225.24,198.79,357.84,*,*,*,45.16,235.93,244.35,62.19,84.63,562.02,185.74,296.46,<160,<160,<160,486.68,3209.68,<160,611.89,197.80,268.61,255.33,<20,66.81,*,*,*
SARS-CoV-2_BA.5,183.56,238.03,249.80,245.44,193.58,135.27,46.63,280.58,201.13,50.80,126.03,435.09,178.12,296.14,<160,<160,<160,558.93,3988.20,<160,378.75,218.33,193.64,315.66,<20,75.03,1250.74,650.21,2059.02
SARS-CoV-2_Beta (22131),<80,186.15,220.99,*,*,*,536.64,1463.91,2260.00,1477.82,1822.35,2299.24,600.31,927.04,<20,139.54,92.79,374.95,161.23,283.39,2703.69,1919.19,2043.83,1306.89,167.82,1458.71,*,*,*
SARS-CoV-2_Delta (25853_23),<20,<80,<80,*,*,*,457.69,1075.01,204.77,210.99,205.75,4855.96,3568.04,>5120,<20,100.34,57.91,76.72,<40,45.67,2910.96,960.37,1106.16,1066.96,462.62,1391.39,*,*,*
SARS-CoV-2_Mu,<80,354.06,<80,*,*,*,831.37,1708.85,800.84,517.31,559.20,1821.82,301.10,1267.52,<80,90.67,<80,509.86,233.24,808.71,>5120,2035.70,5244.12,1308.48,61.25,542.26,*,*,*
SARS-CoV-2_WT (984),<160,<160,<160,<80,<80,<80,994.94,1442.70,408.02,445.63,521.85,1881.05,772.98,1056.05,<160,<160,<160,<160,<160,<160,5458.40,1121.00,2929.05,1637.90,774.08,1507.82,<40,<40,<40
XBB.2,70.93,<107,159.72,1263.77,1754.01,955.51,*,*,*,*,*,*,*,*,183.93,<54,<54,*,*,*,*,*,*,<32,<32,<32,331.03,223.48,663.16
rSARS-CoV-2_B.1+E484K,<80,<80,<80,*,*,*,223.78,390.99,303.82,275.33,264.99,1316.79,311.35,508.83,<40,79.89,58.41,149.96,<80,101.93,2584.56,1297.00,2269.34,634.48,233.92,1483.10,*,*,*
