virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,412.50,322.49,295.08,*,*,*,*,*,*,*,*,*,*,*,332.53,<80,<80,*,*,*,*,*,*,87.27,<40,<40,5362.32,2121.20,>5120
BN.1.3.1,208.95,73.59,82.01,*,*,*,*,*,*,*,*,*,*,*,270.03,<54,<54,*,*,*,*,*,*,<40,<40,63.08,211.33,88.91,194.11
BQ.1.18,<160,252.90,340.33,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,3929.38,1500.35,>5120
EG.5.1 (V140),126.90,117.83,297.24,642.71,1741.74,1462.89,*,*,*,*,*,*,*,*,609.41,<40,42.76,*,*,*,*,*,*,*,*,*,1232.53,458.54,500.05
JN.1 (V148),123.44,70.46,120.50,272.59,1334.11,770.44,*,*,*,*,*,*,*,*,165.16,<40,145.84,*,*,*,*,*,*,*,*,*,526.48,157.07,<40
SARS-CoV-2_Alpha (21528),218.91,1091.83,528.92,*,*,*,>5120,>5120,3561.97,5112.06,4266.06,>5120,>5120,>5120,160,335.25,760.24,320,640,1026.14,>5120,3483.37,>5120,>5120,2581.97,>5120,*,*,*
SARS-CoV-2_BA.1 (26335),1890.00,1238.99,1588.89,*,*,*,326.09,1074.44,444.07,393.41,431.79,2280.28,2280.28,1066.23,5349.40,>5120,4662.72,>5120,3371.70,3933.33,2944.38,3112.78,2431.34,1144.33,<160,724.89,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),3646.24,4097.17,4081.43,*,*,*,291.80,1398.30,718.23,436.80,608.84,2251.48,1207.58,3064.47,1464.59,997.23,971.03,>5120,>5120,3869.36,>5120,2868.67,5743.11,5189.68,<160,667.55,*,*,*
SARS-CoV-2_BA.2 (26729_2),5410.18,6544.40,6868.65,*,*,*,409.58,3814.52,1455.49,1057.18,1321.20,3962.27,1906.98,3667.36,2026.74,1826.50,1606.71,>5120,>5120,4421.62,5020.84,2895.87,4853.22,2158.85,<160,1058.22,362.20,403.39,417.12
SARS-CoV-2_BA.4,481.00,429.24,726.01,*,*,*,73.48,783.04,810.15,123.60,247.92,1415.74,451.79,1714.75,540.99,<160,<160,1475.35,>5120,298.55,1717.04,894.30,439.78,918.10,<20,174.98,*,*,*
SARS-CoV-2_BA.5,701.53,1616.58,1015.40,802.86,776.75,525.31,80.33,831.86,623.16,136.76,568.74,1859.04,397.53,1722.35,845.25,<160,<160,2581.55,>5120,434.71,2341.66,1158.44,421.09,1961.45,<20,325.76,2345.81,1722.97,4640.88
SARS-CoV-2_Beta (22131),302.16,1421.30,1751.67,*,*,*,2343.54,5109.13,5039.32,4739.79,4940.62,>5120,2532.65,4289.00,52.59,581.55,364.13,2269.41,959.81,1392.92,>5120,>5120,>5120,4688.53,1278.09,4999.06,*,*,*
SARS-CoV-2_Delta (25853_23),47.92,128.03,126.65,*,*,*,1591.75,2507.93,468.12,461.14,680.25,5618.28,5562.92,>5120,28.54,257.94,118.02,83.85,<40,67.23,5218.42,3626.58,4571.11,3272.04,1031.76,2653.86,*,*,*
SARS-CoV-2_Mu,114.82,979.01,287.77,*,*,*,2711.47,4281.16,3364.68,1806.68,3253.78,3125.54,1355.41,2276.68,<80,177.06,134.70,1407.98,643.96,1980.75,>5120,4536.90,>5120,3828.27,373.01,1477.90,*,*,*
SARS-CoV-2_WT (984),<160,327.91,245.20,<80,<80,<80,2664.53,4855.30,787.60,1169.25,999.91,5910.76,2644.61,3553.00,<160,<160,<160,314.01,182.30,416.02,>5120,4016.03,>5120,3848.72,2064.02,4082.11,<40,<40,<40
XBB.2,123.79,159.81,726.22,4068.45,5983.39,2626.55,*,*,*,*,*,*,*,*,275.42,<54,71.46,*,*,*,*,*,*,<32,<32,<32,653.41,435.10,1473.78
rSARS-CoV-2_B.1+E484K,82.55,210.49,203.52,*,*,*,754.69,1882.10,1213.30,1680.34,1607.41,6334.51,1881.50,2096.30,50.88,221.44,149.28,1289.02,279.42,307.51,>5120,>5120,5793.35,2801.21,1005.73,2950.98,*,*,*
