virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,320,160,160,*,*,*,*,*,*,*,*,*,*,*,160,<80,<80,*,*,*,*,*,*,40,<40,<40,2560,1280,5120
BN.1.3.1,108,54,54,*,*,*,*,*,*,*,*,*,*,*,216,<54,<54,*,*,*,*,*,*,<40,<40,32,108,54,108
BQ.1.18,<160,160,160,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,2560,1280,5120
EG.5.1 (V140),80,80,160,320,1280,640,*,*,*,*,*,*,*,*,320,<40,<40,*,*,*,*,*,*,*,*,*,640,320,320
JN.1 (V148),80,40,40,160,640,320,*,*,*,*,*,*,*,*,80,<40,80,*,*,*,*,*,*,*,*,*,320,80,<40
SARS-CoV-2_Alpha (21528),160,320,320,*,*,*,5120,>5120,1280,2560,1280,>5120,2560,2560,80,160,320,320,160,640,>5120,2560,>5120,2560,1280,>5120,*,*,*
SARS-CoV-2_BA.1 (26335),640,640,1280,*,*,*,160,640,320,160,320,1280,1280,640,2560,2560,2560,>5120,1280,1280,1280,1280,1280,320,<160,320,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),2560,2560,2560,*,*,*,160,640,320,320,320,1280,640,1280,640,320,320,>5120,>5120,2560,5120,1280,2560,1280,<160,320,*,*,*
SARS-CoV-2_BA.2 (26729_2),2560,2560,2560,*,*,*,160,1280,640,320,640,1280,640,1280,640,320,640,>5120,>5120,2560,2560,1280,2560,1280,<160,320,160,320,320
SARS-CoV-2_BA.4,320,320,640,*,*,*,40,320,320,80,160,640,320,640,320,<160,<160,640,>5120,160,1280,320,320,320,<20,80,*,*,*
SARS-CoV-2_BA.5,320,640,320,320,320,320,40,640,320,80,160,640,320,640,320,<160,<160,1280,>5120,160,640,640,320,640,<20,160,1280,1280,2560
SARS-CoV-2_Beta (22131),160,320,640,*,*,*,1280,2560,2560,2560,2560,5120,1280,2560,20,320,160,640,320,640,5120,2560,5120,2560,320,2560,*,*,*
SARS-CoV-2_Delta (25853_23),40,80,80,*,*,*,640,1280,320,320,320,5120,5120,>5120,20,160,80,80,<40,40,2560,1280,2560,1280,640,1280,*,*,*
SARS-CoV-2_Mu,80,640,160,*,*,*,1280,2560,1280,640,1280,2560,640,1280,<80,160,80,640,320,1280,>5120,2560,>5120,2560,160,640,*,*,*
SARS-CoV-2_WT (984),<160,160,160,<80,<80,<80,1280,2560,640,640,640,2560,1280,1280,<160,<160,<160,160,<160,160,>5120,2560,5120,2560,1280,2560,<40,<40,<40
XBB.2,108,108,432,2560,2560,1280,*,*,*,*,*,*,*,*,216,<54,<54,*,*,*,*,*,*,<32,<32,<32,432,216,864
rSARS-CoV-2_B.1+E484K,<80,80,160,*,*,*,320,640,640,640,640,2560,640,1280,<40,160,80,320,80,160,5120,2560,2560,1280,320,2560,*,*,*
