Antigen,Color
D614G,#393b79
B.1.1.7,#637939
B.1.1.7+E484K,#637939
B.1.617.2,#d18652
Delta,#d18652
B.1.351,#e7ba52
Beta,#e7ba52
BA.1,#EF3737
P.1,#7b4173
B.1.617.1,#ad494a
BA.2,#d10fa2
BA.5,#F08DA5
SARS-CoV-2_Alpha (21528),#637939
SARS-CoV-2_BA.1 (26335),#EF3737
SARS-CoV-2_BA.2 (26729_12),#8F4F81
SARS-CoV-2_BA.2 (26729_2),#8F4F81
SARS-CoV-2_Beta (22131),#e7ba52
SARS-CoV-2_Delta (25853_23),#d18652
SARS-CoV-2_WT (984),#393b79
rSARS-CoV-2_B.1+E484K,#5ce0e0
SARS-CoV-2_BA.4,#F08DA5
SARS-CoV-2_BA.5,#F08DA5
SARS-CoV-2_Mu,#0096ad
Mu,#0096ad
BQ.1.18,#BC823E
BN.1.3.1,#c571c9
BF.7,#9A2A36
XBB.2,#3d656e
EG.5.1,#483d8b
BA.2.86,#ff7f0e
JN.1,#ffbf00
EG.5.1 (V140),#483d8b
JN.1 (V148),#ffbf00
BA.1 - RBD,#EF3737
BA.2 - RBD,#8F4F81
BA.4+5 - RBD,#F08DA5
Beta - RBD,#e7ba52
Delta -RBD,#d18652
Delta - RBD,#d18652
WT - RBD,#393b79
